date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:39	112831/112831	---M--	200	added ('OK')	image/jpeg	etag:%220-1b8bf-645bed55%22	http://10.151.34.32:89/LLDS_July_2021/Picture/VW_16_50.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/VW_16_50.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/VW_16_50.html)
15:43:43	113386/113386	---M--	200	added ('OK')	image/jpeg	etag:%220-1baea-645bed56%22	http://10.151.34.32:89/LLDS_July_2021/Picture/VW_17_52.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/VW_17_52.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/VW_17_52.html)
15:43:44	86489/86489	---M--	200	added ('OK')	image/jpeg	etag:%220-151d9-645bed58%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Rain_Plot_64.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Rain_Plot_64.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Rain_Plot_64.html)
15:44:02	170763/170763	---M--	200	added ('OK')	image/jpeg	etag:%220-29b0b-645bed57%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Relative_Humidity_Plot_62.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Relative_Humidity_Plot_62.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Relative_Humidity_Plot_62.html)
15:44:04	158534/158534	---M--	200	added ('OK')	image/jpeg	etag:%220-26b46-645bed56%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Barometer_hPa_Plot_60.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Barometer_hPa_Plot_60.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Barometer_hPa_Plot_60.html)
15:44:12	174671/174671	---M--	200	added ('OK')	image/jpeg	etag:%220-2aa4f-645bed57%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Wind_Speed_Plot_61.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Wind_Speed_Plot_61.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Wind_Speed_Plot_61.html)
15:44:33	306081/306081	---M--	200	added ('OK')	image/jpeg	etag:%220-4aba1-645bed65%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_03_Profile_25.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_03_Profile_25.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_03_Profile_25.html)
15:45:07	385207/385207	---M--	200	added ('OK')	image/jpeg	etag:%220-5e0b7-645bed64%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_01_Profile_24.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_01_Profile_24.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_01_Profile_24.html)
15:45:19	283472/283472	---M--	200	added ('OK')	image/jpeg	etag:%220-45350-645bed6a%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Graph_47.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_02_Graph_47.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Graph_47.html)
15:45:43	670098/670098	---M--	200	added ('OK')	image/jpeg	etag:%220-a3992-645bed62%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_03_20.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_03_20.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_03_20.html)
15:45:43	276026/276026	---M--	200	added ('OK')	image/jpeg	etag:%220-4363a-645bed6b%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Graph_48.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_04_Graph_48.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Graph_48.html)
15:45:49	765310/765310	---M--	200	added ('OK')	image/jpeg	etag:%220-bad7e-645bed5f%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_01_19.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_01_19.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_01_19.html)
